VehicleType,DayType,StartTime,EndTime,ZoneID,ChargeAmount,EffectiveDate
Motorcycles,Weekdays,08:30,08:35,AY1,0.25,2022-09-19
Motorcycles,Weekdays,08:35,09:25,AY1,0.5,2022-09-19
Motorcycles,Weekdays,09:25,09:30,AY1,0.25,2022-09-19
Motorcycles,Weekdays,08:00,08:05,AYC,0.5,2022-09-19
Motorcycles,Weekdays,08:05,08:30,AYC,1,2022-09-19
Motorcycles,Weekdays,08:30,08:35,AYC,1.25,2022-09-19
Motorcycles,Weekdays,08:35,08:55,AYC,1.5,2022-09-19
Motorcycles,Weekdays,08:55,09:00,AYC,1.25,2022-09-19
Motorcycles,Weekdays,09:00,09:25,AYC,1,2022-09-19
Motorcycles,Weekdays,09:25,09:30,AYC,0.5,2022-09-19
Motorcycles,Weekdays,17:30,17:35,AYC,0.75,2022-09-19
Motorcycles,Weekdays,17:35,17:55,AYC,1.5,2022-09-19
Motorcycles,Weekdays,17:55,18:00,AYC,1,2022-09-19
Motorcycles,Weekdays,18:00,18:25,AYC,0.5,2022-09-19
Motorcycles,Weekdays,18:25,18:30,AYC,0.25,2022-09-19
Motorcycles,Weekdays,17:30,17:35,AYT,0.25,2022-09-19
Motorcycles,Weekdays,17:35,18:00,AYT,0.5,2022-09-19
Motorcycles,Weekdays,18:00,18:05,AYT,0.75,2022-09-19
Motorcycles,Weekdays,18:05,18:25,AYT,1,2022-09-19
Motorcycles,Weekdays,18:25,18:30,AYT,0.75,2022-09-19
Motorcycles,Weekdays,18:30,18:55,AYT,0.5,2022-09-19
Motorcycles,Weekdays,18:55,19:00,AYT,0.25,2022-09-19
Motorcycles,Weekdays,07:30,07:35,CT1,0.25,2022-09-19
Motorcycles,Weekdays,07:35,08:00,CT1,0.5,2022-09-19
Motorcycles,Weekdays,08:00,08:05,CT1,1,2022-09-19
Motorcycles,Weekdays,08:05,08:30,CT1,1.5,2022-09-19
Motorcycles,Weekdays,08:30,08:35,CT1,1.75,2022-09-19
Motorcycles,Weekdays,08:35,08:55,CT1,2,2022-09-19
Motorcycles,Weekdays,08:55,09:00,CT1,1.75,2022-09-19
Motorcycles,Weekdays,09:00,09:55,CT1,1.5,2022-09-19
Motorcycles,Weekdays,09:55,10:00,CT1,0.75,2022-09-19
Motorcycles,Weekdays,07:30,07:35,CT2,0.25,2022-09-19
Motorcycles,Weekdays,07:35,08:00,CT2,0.5,2022-09-19
Motorcycles,Weekdays,08:00,08:05,CT2,0.75,2022-09-19
Motorcycles,Weekdays,08:05,08:30,CT2,1,2022-09-19
Motorcycles,Weekdays,08:30,08:35,CT2,1.25,2022-09-19
Motorcycles,Weekdays,08:35,09:25,CT2,1.5,2022-09-19
Motorcycles,Weekdays,09:25,09:30,CT2,1.25,2022-09-19
Motorcycles,Weekdays,09:30,09:55,CT2,1,2022-09-19
Motorcycles,Weekdays,09:55,10:00,CT2,0.5,2022-09-19
