VehicleType,DayType,StartTime,EndTime,ZoneID,ChargeAmount,EffectiveDate
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,09:00,09:05,AY1,0.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,09:05,09:25,AY1,1,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,09:25,09:30,AY1,0.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:30,08:35,AYC,0.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:35,09:25,AYC,1,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,09:25,09:30,AYC,0.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,17:30,17:35,AYT,0.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,17:35,18:25,AYT,1,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,18:25,18:30,AYT,0.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:00,08:05,CT1,0.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:05,08:30,CT1,1,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:30,08:35,CT1,2,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:35,09:55,CT1,3,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,09:55,10:00,CT1,1.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,07:30,07:35,CT2,0.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,07:35,08:00,CT2,1,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:00,08:05,CT2,1.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:05,08:30,CT2,2,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:30,08:35,CT2,2.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:35,09:25,CT2,3,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,09:25,09:30,CT2,2.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,09:30,09:55,CT2,2,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,09:55,10:00,CT2,1,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:00,08:05,CT4,0.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:05,08:30,CT4,1,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:30,08:35,CT4,2,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:35,09:25,CT4,3,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,09:25,09:30,CT4,1.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,17:30,17:35,CT5,1,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,17:35,18:00,CT5,2,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,18:00,18:05,CT5,2.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,18:05,18:25,CT5,3,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,18:25,18:30,CT5,2.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,18:30,18:55,CT5,2,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,18:55,19:00,CT5,1,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:00,08:05,KP2,0.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:05,08:55,KP2,1,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:55,09:00,KP2,0.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:00,08:05,PE2,0.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:05,08:55,PE2,1,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:55,09:00,PE2,0.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:00,08:05,PE3,0.5,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:05,08:30,PE3,1,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:30,08:35,PE3,2,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,08:35,09:55,PE3,3,2022-05-30
Passenger Cars/Light Goods Vehicles/Taxis,Weekdays,09:55,10:00,PE3,1.5,2022-05-30
