VehicleType,DayType,StartTime,EndTime,ZoneID,ChargeAmount,EffectiveDate
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:00,08:05,AY1,1,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:05,08:30,AY1,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:30,08:35,AY1,3,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:35,08:55,AY1,4,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:55,09:00,AY1,3,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:00,09:25,AY1,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:25,09:30,AY1,1,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:30,07:35,AYC,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,07:35,08:30,AYC,4,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:30,08:35,AYC,5,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:35,08:55,AYC,6,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,08:55,09:00,AYC,5,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:00,09:25,AYC,4,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:25,09:30,AYC,3,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:30,09:55,AYC,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,09:55,10:00,AYC,1,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,17:30,17:35,AYC,3,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,17:35,17:55,AYC,6,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,17:55,18:00,AYC,4,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,18:00,18:25,AYC,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,18:25,18:30,AYC,1,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,17:30,17:35,AYT,2,2024-01-02
Very Heavy Goods Vehicles/Big Buses,Weekdays,17:35,18:25,AYT,4,2024-01-02
